BS,CellName,RUType,Mode,Frequency,Bandwidth,Antennas,TXpower
B_415,Cell0,Type6,Mode2,189,10,2,6.427503737
B_416,Cell0,Type7,Mode2,365,20,2,6.87593423
B_417,Cell0,Type7,Mode2,365,20,2,6.87593423
B_418,Cell0,Type7,Mode2,365,20,2,6.87593423
B_419,Cell0,Type7,Mode2,365,20,1,6.87593423
B_420,Cell0,Type4,Mode2,532,20,1,6.87593423
B_421,Cell0,Type4,Mode2,532,20,1,6.87593423
B_422,Cell0,Type6,Mode2,189,5,1,5.979073244
B_423,Cell0,Type6,Mode2,189,10,1,6.427503737
B_424,Cell0,Type6,Mode2,189,10,1,6.427503737
B_425,Cell0,Type7,Mode2,365,20,2,6.87593423
B_426,Cell0,Type7,Mode2,365,20,1,6.87593423
B_427,Cell0,Type4,Mode2,532,20,2,6.87593423
B_428,Cell0,Type1,Mode2,365,20,4,6.87593423
B_429,Cell0,Type4,Mode2,532,20,2,6.87593423
B_430,Cell0,Type1,Mode2,365,20,4,6.87593423
B_431,Cell0,Type4,Mode2,532,20,2,6.87593423
B_432,Cell0,Type4,Mode2,532,20,2,6.87593423
B_433,Cell0,Type3,Mode2,189,10,2,6.427503737
B_434,Cell0,Type3,Mode2,189,10,2,6.427503737
B_435,Cell0,Type3,Mode2,155.6,10,2,6.427503737
B_436,Cell0,Type1,Mode2,365,20,4,6.87593423
B_437,Cell0,Type1,Mode2,365,20,2,6.87593423
B_438,Cell0,Type4,Mode2,532,20,2,6.87593423
B_439,Cell0,Type1,Mode2,365,20,2,6.87593423
B_440,Cell0,Type4,Mode2,532,20,2,6.87593423
B_441,Cell0,Type4,Mode2,532,20,2,6.87593423
B_442,Cell0,Type6,Mode2,189,10,2,6.427503737
B_443,Cell0,Type6,Mode2,189,10,2,6.427503737
B_444,Cell0,Type6,Mode2,189,10,2,6.427503737
B_445,Cell0,Type1,Mode2,365,20,2,6.87593423
B_446,Cell0,Type7,Mode2,365,20,1,6.87593423
B_447,Cell0,Type7,Mode2,365,20,1,6.87593423
B_448,Cell0,Type6,Mode2,189,5,1,5.979073244
B_449,Cell0,Type6,Mode2,189,5,1,5.979073244
B_450,Cell0,Type6,Mode2,189,5,1,5.979073244
B_451,Cell0,Type7,Mode2,365,20,2,6.87593423
B_452,Cell0,Type6,Mode2,189,5,1,5.979073244
B_453,Cell0,Type7,Mode2,365,20,1,6.87593423
B_454,Cell0,Type7,Mode2,365,20,2,6.87593423
B_455,Cell0,Type7,Mode2,365,20,2,6.87593423
B_456,Cell0,Type7,Mode2,365,20,2,6.87593423
B_457,Cell0,Type7,Mode2,365,20,2,6.87593423
B_458,Cell0,Type4,Mode2,532,20,2,6.87593423
B_459,Cell0,Type7,Mode2,365,20,2,6.87593423
B_460,Cell0,Type4,Mode2,532,20,2,6.87593423
B_461,Cell0,Type4,Mode2,532,20,2,6.87593423
B_462,Cell0,Type6,Mode2,189,10,2,6.427503737
B_463,Cell0,Type6,Mode2,189,10,2,6.427503737
B_464,Cell0,Type6,Mode2,189,10,2,6.427503737
B_465,Cell0,Type7,Mode2,365,20,2,6.87593423
B_466,Cell0,Type1,Mode2,365,20,2,6.87593423
B_467,Cell0,Type4,Mode2,532,20,2,6.87593423
B_468,Cell0,Type1,Mode2,365,20,2,6.87593423
B_469,Cell0,Type4,Mode2,532,20,2,6.87593423
B_470,Cell0,Type4,Mode2,532,20,2,6.87593423
B_471,Cell0,Type6,Mode2,189,10,2,6.427503737
B_472,Cell0,Type6,Mode2,189,10,2,6.427503737
B_473,Cell0,Type6,Mode2,189,10,2,6.427503737
B_474,Cell0,Type1,Mode2,365,20,2,6.87593423
B_475,Cell0,Type1,Mode2,365,20,2,6.87593423
B_476,Cell0,Type1,Mode2,365,20,2,6.87593423
B_477,Cell0,Type1,Mode2,365,20,2,6.87593423
B_478,Cell0,Type1,Mode2,365,20,2,6.726457399
B_479,Cell0,Type7,Mode2,365,20,2,6.87593423
B_480,Cell0,Type4,Mode2,532,20,2,6.87593423
B_481,Cell0,Type7,Mode2,365,20,2,6.87593423
B_482,Cell0,Type4,Mode2,532,20,2,6.87593423
B_483,Cell0,Type4,Mode2,532,20,2,6.87593423
B_484,Cell0,Type7,Mode2,365,20,2,6.87593423
B_485,Cell0,Type1,Mode2,365,20,2,6.87593423
B_486,Cell0,Type6,Mode2,365,20,2,6.87593423
B_487,Cell0,Type4,Mode2,532,20,2,6.87593423
B_488,Cell0,Type6,Mode2,189,10,1,6.427503737
B_489,Cell0,Type6,Mode2,189,10,1,6.427503737
B_490,Cell0,Type7,Mode2,365,20,1,6.87593423
B_491,Cell0,Type4,Mode2,532,20,1,6.87593423
B_492,Cell0,Type6,Mode2,365,20,2,6.87593423
B_493,Cell0,Type7,Mode2,365,20,1,6.87593423
B_494,Cell0,Type4,Mode2,532,20,1,6.87593423
B_495,Cell0,Type6,Mode2,189,10,1,6.427503737
B_496,Cell0,Type6,Mode2,365,20,2,6.397608371
B_497,Cell0,Type7,Mode2,365,20,2,6.87593423
B_498,Cell0,Type7,Mode2,365,20,2,6.87593423
B_499,Cell0,Type7,Mode2,365,20,1,6.87593423
B_500,Cell0,Type1,Mode2,365,20,4,6.87593423
B_501,Cell0,Type4,Mode2,532,20,2,6.87593423
B_502,Cell0,Type1,Mode2,365,20,4,6.87593423
B_503,Cell0,Type4,Mode2,532,20,2,6.87593423
B_504,Cell0,Type4,Mode2,532,20,2,6.87593423
B_505,Cell0,Type3,Mode2,155.6,10,2,6.427503737
B_506,Cell0,Type3,Mode2,155.6,10,2,6.427503737
B_507,Cell0,Type1,Mode2,365,20,4,6.87593423
B_508,Cell0,Type1,Mode2,365,20,2,6.87593423
B_509,Cell0,Type4,Mode2,532,20,2,6.87593423
B_510,Cell0,Type1,Mode2,365,20,2,6.87593423
B_511,Cell0,Type4,Mode2,532,20,2,6.87593423
B_512,Cell0,Type4,Mode2,532,20,2,6.87593423
B_513,Cell0,Type6,Mode2,189,10,2,6.427503737
B_514,Cell0,Type6,Mode2,189,10,2,6.427503737
B_515,Cell0,Type6,Mode2,189,10,2,6.427503737
B_516,Cell0,Type1,Mode2,365,20,2,6.576980568
B_517,Cell0,Type1,Mode2,365,20,2,6.87593423
B_518,Cell0,Type4,Mode2,532,20,2,6.87593423
B_519,Cell0,Type1,Mode2,365,20,2,6.87593423
B_520,Cell0,Type4,Mode2,532,20,2,6.87593423
B_521,Cell0,Type4,Mode2,532,20,2,6.87593423
B_522,Cell0,Type3,Mode2,189,10,2,6.427503737
B_523,Cell0,Type3,Mode2,189,10,2,6.427503737
B_524,Cell0,Type3,Mode2,189,10,2,6.427503737
B_525,Cell0,Type1,Mode2,365,20,2,6.87593423
B_526,Cell0,Type1,Mode2,365,20,2,6.87593423
B_527,Cell0,Type2,Mode2,532,20,1,6.87593423
B_528,Cell0,Type2,Mode2,532,20,2,6.87593423
B_529,Cell0,Type5,Mode2,189,10,1,6.427503737
B_530,Cell0,Type5,Mode2,189,10,2,6.427503737
B_531,Cell0,Type7,Mode2,365,20,1,6.87593423
B_532,Cell0,Type1,Mode2,365,20,4,6.87593423
B_533,Cell0,Type2,Mode2,532,20,4,6.87593423
B_534,Cell0,Type1,Mode2,365,20,4,6.87593423
B_535,Cell0,Type2,Mode2,532,20,4,6.87593423
B_536,Cell0,Type2,Mode2,532,20,4,6.87593423
B_537,Cell0,Type3,Mode2,189,10,2,6.427503737
B_538,Cell0,Type3,Mode2,189,10,2,6.427503737
B_539,Cell0,Type1,Mode2,365,20,4,6.87593423
B_540,Cell0,Type1,Mode2,365,20,2,6.87593423
B_541,Cell0,Type1,Mode2,365,20,2,6.87593423
B_542,Cell0,Type2,Mode2,532,20,2,6.87593423
B_543,Cell0,Type2,Mode2,532,20,2,6.87593423
B_544,Cell0,Type3,Mode2,189,10,2,6.412556054
B_545,Cell0,Type3,Mode2,189,10,2,6.412556054
B_546,Cell0,Type7,Mode2,365,20,2,6.87593423
B_547,Cell0,Type4,Mode2,532,20,2,6.87593423
B_548,Cell0,Type7,Mode2,365,20,2,6.87593423
B_549,Cell0,Type4,Mode2,532,20,2,6.87593423
B_550,Cell0,Type4,Mode2,532,20,2,6.87593423
B_551,Cell0,Type3,Mode2,189,10,2,6.427503737
B_552,Cell0,Type3,Mode2,189,10,2,6.427503737
B_553,Cell0,Type3,Mode2,189,10,2,6.427503737
B_554,Cell0,Type7,Mode2,365,20,2,6.87593423
B_555,Cell0,Type1,Mode2,365,20,4,6.87593423
B_556,Cell0,Type2,Mode2,532,20,2,6.87593423
B_557,Cell0,Type1,Mode2,365,20,4,6.87593423
B_558,Cell0,Type2,Mode2,532,20,2,6.87593423
B_559,Cell0,Type2,Mode2,532,20,2,6.87593423
B_560,Cell0,Type6,Mode2,189,10,2,6.427503737
B_561,Cell0,Type6,Mode2,189,10,2,6.427503737
B_562,Cell0,Type6,Mode2,189,10,2,6.427503737
B_563,Cell0,Type1,Mode2,365,20,4,6.87593423
B_564,Cell0,Type7,Mode2,365,20,2,6.87593423
B_565,Cell0,Type7,Mode2,365,20,2,6.87593423
B_566,Cell0,Type4,Mode2,532,20,2,6.87593423
B_567,Cell0,Type4,Mode2,532,20,2,5.680119581
B_568,Cell0,Type6,Mode2,189,10,1,6.427503737
B_569,Cell0,Type6,Mode2,189,10,2,6.427503737
B_570,Cell0,Type6,Mode2,189,10,2,6.427503737
B_571,Cell0,Type7,Mode2,365,20,1,6.87593423
B_572,Cell0,Type1,Mode2,365,20,2,6.87593423
B_573,Cell0,Type1,Mode2,365,20,2,6.87593423
B_574,Cell0,Type4,Mode2,532,20,2,6.87593423
B_575,Cell0,Type4,Mode2,532,20,2,6.87593423
B_576,Cell0,Type6,Mode2,189,10,2,6.427503737
B_577,Cell0,Type6,Mode2,189,10,2,6.427503737
B_578,Cell0,Type5,Mode2,365,20,2,6.87593423
B_579,Cell0,Type4,Mode2,532,20,2,6.87593423
B_580,Cell0,Type5,Mode2,365,20,2,6.87593423
B_581,Cell0,Type4,Mode2,532,20,2,6.87593423
B_582,Cell0,Type4,Mode2,532,20,2,6.87593423
B_583,Cell0,Type3,Mode2,155.6,10,2,6.427503737
B_584,Cell0,Type3,Mode2,155.6,10,2,6.427503737
B_585,Cell0,Type3,Mode2,155.6,10,2,6.427503737
B_586,Cell0,Type5,Mode2,365,20,2,6.87593423
B_587,Cell0,Type7,Mode2,365,20,2,6.87593423
B_588,Cell0,Type4,Mode2,532,20,2,6.87593423
B_589,Cell0,Type7,Mode2,365,20,2,6.87593423
B_590,Cell0,Type4,Mode2,532,20,2,6.87593423
B_591,Cell0,Type4,Mode2,532,20,2,6.87593423
B_592,Cell0,Type6,Mode2,189,10,2,6.427503737
B_593,Cell0,Type6,Mode2,189,10,2,6.427503737
B_594,Cell0,Type7,Mode2,365,20,2,6.87593423
B_595,Cell0,Type1,Mode2,365,20,2,6.87593423
B_596,Cell0,Type4,Mode2,532,20,2,6.87593423
B_597,Cell0,Type1,Mode2,365,20,2,6.87593423
B_598,Cell0,Type4,Mode2,532,20,2,6.87593423
B_599,Cell0,Type4,Mode2,532,20,2,6.87593423
B_600,Cell0,Type6,Mode2,189,10,2,6.427503737
B_601,Cell0,Type6,Mode2,189,10,2,6.427503737
B_602,Cell0,Type6,Mode2,189,10,2,6.427503737
B_603,Cell0,Type1,Mode2,365,20,2,6.87593423
B_604,Cell0,Type5,Mode2,189,10,2,6.427503737
B_605,Cell0,Type1,Mode2,365,20,2,6.87593423
B_606,Cell0,Type2,Mode2,532,20,2,6.87593423
B_607,Cell0,Type1,Mode2,365,20,2,6.87593423
B_608,Cell0,Type4,Mode2,532,20,2,6.87593423
B_609,Cell0,Type5,Mode2,189,10,2,6.427503737
B_610,Cell0,Type7,Mode2,365,20,2,6.87593423
B_611,Cell0,Type7,Mode2,365,20,2,6.87593423
B_612,Cell0,Type4,Mode2,532,20,2,6.87593423
B_613,Cell0,Type4,Mode2,532,20,2,6.87593423
B_614,Cell0,Type6,Mode2,189,10,2,6.427503737
B_615,Cell0,Type6,Mode2,189,10,2,6.427503737
B_616,Cell0,Type7,Mode2,365,20,2,6.87593423
B_617,Cell0,Type7,Mode2,365,20,2,6.87593423
B_618,Cell0,Type4,Mode2,532,20,2,6.87593423
B_619,Cell0,Type4,Mode2,532,20,2,6.87593423
B_620,Cell0,Type7,Mode2,365,20,1,6.87593423
B_621,Cell0,Type6,Mode2,189,10,2,6.427503737
B_622,Cell0,Type4,Mode2,532,20,1,6.87593423
B_623,Cell0,Type6,Mode2,189,10,2,6.427503737
B_624,Cell0,Type6,Mode2,189,10,1,6.427503737
B_625,Cell0,Type7,Mode2,365,20,1,6.68161435
B_626,Cell0,Type1,Mode2,365,20,2,6.87593423
B_627,Cell0,Type4,Mode2,532,20,2,6.87593423
B_628,Cell0,Type1,Mode2,365,20,2,6.87593423
B_629,Cell0,Type4,Mode2,532,20,2,6.87593423
B_630,Cell0,Type4,Mode2,532,20,2,6.87593423
B_631,Cell0,Type6,Mode2,189,10,2,6.427503737
B_632,Cell0,Type6,Mode2,189,10,2,6.427503737
B_633,Cell0,Type6,Mode2,189,10,2,6.427503737
B_634,Cell0,Type1,Mode2,365,20,2,6.87593423
B_635,Cell0,Type1,Mode2,365,20,2,6.87593423
B_636,Cell0,Type4,Mode2,532,20,2,6.87593423
B_637,Cell0,Type1,Mode2,365,20,2,6.87593423
B_638,Cell0,Type4,Mode2,532,20,2,6.87593423
B_639,Cell0,Type4,Mode2,532,20,2,6.87593423
B_640,Cell0,Type6,Mode2,189,10,2,6.427503737
B_641,Cell0,Type6,Mode2,189,10,2,6.427503737
B_642,Cell0,Type6,Mode2,189,10,2,6.427503737
B_643,Cell0,Type1,Mode2,365,20,2,6.87593423
B_644,Cell0,Type7,Mode2,365,20,2,6.427503737
B_645,Cell0,Type6,Mode2,189,10,1,6.427503737
B_646,Cell0,Type7,Mode2,365,20,1,6.87593423
B_647,Cell0,Type7,Mode2,365,20,1,6.87593423
B_648,Cell0,Type7,Mode2,365,20,2,6.980568012
B_649,Cell0,Type7,Mode2,365,20,2,6.87593423
B_650,Cell0,Type4,Mode2,532,20,2,6.87593423
B_651,Cell0,Type5,Mode2,189,5,1,5.979073244
B_652,Cell0,Type4,Mode2,532,20,2,6.87593423
B_653,Cell0,Type6,Mode2,189,5,1,5.979073244
B_654,Cell0,Type6,Mode2,189,10,2,6.532137519
B_655,Cell0,Type6,Mode2,189,10,2,6.532137519
B_656,Cell0,Type1,Mode2,365,20,2,6.87593423
B_657,Cell0,Type4,Mode2,532,20,2,6.87593423
B_658,Cell0,Type1,Mode2,365,20,2,6.87593423
B_659,Cell0,Type4,Mode2,532,20,2,6.87593423
B_660,Cell0,Type4,Mode2,532,20,2,6.87593423
B_661,Cell0,Type6,Mode2,189,10,2,6.427503737
B_662,Cell0,Type6,Mode2,189,10,2,6.427503737
B_663,Cell0,Type6,Mode2,189,10,2,6.427503737
B_664,Cell0,Type1,Mode2,365,20,2,6.87593423
B_665,Cell0,Type1,Mode2,365,20,2,6.87593423
B_666,Cell0,Type4,Mode2,532,20,2,6.87593423
B_667,Cell0,Type1,Mode2,365,20,2,6.87593423
B_668,Cell0,Type4,Mode2,532,20,2,6.87593423
B_669,Cell0,Type4,Mode2,532,20,2,6.87593423
B_670,Cell0,Type6,Mode2,189,10,2,6.427503737
B_671,Cell0,Type6,Mode2,189,10,2,6.427503737
B_672,Cell0,Type6,Mode2,189,10,2,6.427503737
B_673,Cell0,Type1,Mode2,365,20,2,6.87593423
B_674,Cell0,Type7,Mode2,365,20,2,6.87593423
B_675,Cell0,Type4,Mode2,532,20,2,6.87593423
B_676,Cell0,Type6,Mode2,189,10,2,6.427503737
B_677,Cell0,Type7,Mode2,365,20,1,6.87593423
B_678,Cell0,Type7,Mode2,365,20,1,6.87593423
B_679,Cell0,Type6,Mode2,189,10,1,6.427503737
B_680,Cell0,Type1,Mode2,365,20,2,6.87593423
B_681,Cell0,Type4,Mode2,532,20,2,6.87593423
B_682,Cell0,Type1,Mode2,365,20,2,6.87593423
B_683,Cell0,Type4,Mode2,532,20,2,6.87593423
B_684,Cell0,Type4,Mode2,532,20,2,6.87593423
B_685,Cell0,Type6,Mode2,189,10,2,6.427503737
B_686,Cell0,Type6,Mode2,189,10,2,6.427503737
B_687,Cell0,Type6,Mode2,189,10,2,6.427503737
B_688,Cell0,Type1,Mode2,365,20,2,6.87593423
B_689,Cell0,Type7,Mode2,365,20,2,6.726457399
B_690,Cell0,Type7,Mode2,365,20,2,6.87593423
B_691,Cell0,Type7,Mode2,365,20,2,6.87593423
B_692,Cell0,Type1,Mode2,365,20,2,6.87593423
B_693,Cell0,Type4,Mode2,532,20,2,6.87593423
B_694,Cell0,Type1,Mode2,365,20,2,6.87593423
B_695,Cell0,Type4,Mode2,532,20,2,6.87593423
B_696,Cell0,Type4,Mode2,532,20,2,6.87593423
B_697,Cell0,Type6,Mode2,189,10,2,6.427503737
B_698,Cell0,Type6,Mode2,189,10,2,6.427503737
B_699,Cell0,Type6,Mode2,189,10,2,6.427503737
B_700,Cell0,Type1,Mode2,365,20,2,6.87593423
B_701,Cell0,Type1,Mode2,365,20,2,6.87593423
B_702,Cell0,Type4,Mode2,532,20,2,6.87593423
B_703,Cell0,Type1,Mode2,365,20,2,5.381165919
B_704,Cell0,Type4,Mode2,532,20,2,6.87593423
B_705,Cell0,Type4,Mode2,532,20,2,5.381165919
B_706,Cell0,Type6,Mode2,189,10,2,6.427503737
B_707,Cell0,Type6,Mode2,189,10,2,6.427503737
B_708,Cell0,Type6,Mode2,189,10,2,6.427503737
B_709,Cell0,Type1,Mode2,365,20,2,6.87593423
B_710,Cell0,Type1,Mode2,365,20,2,6.87593423
B_711,Cell0,Type4,Mode2,532,20,2,6.87593423
B_712,Cell0,Type1,Mode2,365,20,2,6.87593423
B_713,Cell0,Type4,Mode2,532,20,2,6.87593423
B_714,Cell0,Type4,Mode2,532,20,2,6.87593423
B_715,Cell0,Type6,Mode2,189,10,2,6.427503737
B_716,Cell0,Type6,Mode2,189,10,2,6.427503737
B_717,Cell0,Type6,Mode2,189,10,2,6.427503737
B_718,Cell0,Type1,Mode2,365,20,2,6.87593423
B_719,Cell0,Type1,Mode2,365,20,2,6.87593423
B_720,Cell0,Type4,Mode2,532,20,2,6.87593423
B_721,Cell0,Type1,Mode2,365,20,2,6.87593423
B_722,Cell0,Type4,Mode2,532,20,2,6.87593423
B_723,Cell0,Type4,Mode2,532,20,2,6.87593423
B_724,Cell0,Type6,Mode2,189,10,2,6.427503737
B_725,Cell0,Type6,Mode2,189,10,2,6.427503737
B_726,Cell0,Type6,Mode2,189,10,2,6.427503737
B_727,Cell0,Type1,Mode2,365,20,2,6.87593423
B_728,Cell0,Type1,Mode2,365,20,2,6.87593423
B_729,Cell0,Type1,Mode2,365,20,2,6.87593423
B_730,Cell0,Type4,Mode2,532,20,2,6.87593423
B_731,Cell0,Type4,Mode2,532,20,2,6.87593423
B_732,Cell0,Type6,Mode2,189,10,2,6.427503737
B_733,Cell0,Type6,Mode2,189,10,2,6.427503737
B_734,Cell0,Type1,Mode2,365,20,2,6.87593423
B_735,Cell0,Type1,Mode2,365,20,2,6.87593423
B_736,Cell0,Type4,Mode2,532,20,2,6.87593423
B_737,Cell0,Type4,Mode2,532,20,2,6.87593423
B_738,Cell0,Type6,Mode2,189,10,2,6.427503737
B_739,Cell0,Type6,Mode2,189,10,2,6.427503737
B_740,Cell0,Type2,Mode2,532,20,2,6.87593423
B_741,Cell0,Type3,Mode2,189,10,2,6.427503737
B_742,Cell0,Type1,Mode2,365,20,4,6.87593423
B_743,Cell0,Type2,Mode2,532,20,4,6.87593423
B_744,Cell0,Type3,Mode2,189,10,1,6.427503737
B_745,Cell0,Type1,Mode2,365,20,2,6.87593423
B_746,Cell0,Type7,Mode2,365,20,2,6.87593423
B_747,Cell0,Type4,Mode2,532,20,1,6.87593423
B_748,Cell0,Type7,Mode2,365,20,2,6.87593423
B_749,Cell0,Type4,Mode2,532,20,2,6.87593423
B_750,Cell0,Type7,Mode2,365,20,2,6.87593423
B_751,Cell0,Type4,Mode2,532,20,2,6.87593423
B_752,Cell0,Type6,Mode2,189,10,1,6.427503737
B_753,Cell0,Type4,Mode2,532,20,2,6.87593423
B_754,Cell0,Type6,Mode2,189,10,2,6.427503737
B_755,Cell0,Type6,Mode2,189,10,2,6.427503737
B_756,Cell0,Type6,Mode2,189,10,2,6.427503737
B_757,Cell0,Type7,Mode2,365,20,1,6.87593423
B_758,Cell0,Type1,Mode2,365,20,2,6.87593423
B_759,Cell0,Type4,Mode2,532,20,2,6.87593423
B_760,Cell0,Type1,Mode2,365,20,2,6.87593423
B_761,Cell0,Type4,Mode2,532,20,2,6.87593423
B_762,Cell0,Type4,Mode2,532,20,2,6.87593423
B_763,Cell0,Type6,Mode2,189,10,2,6.427503737
B_764,Cell0,Type6,Mode2,189,10,2,6.427503737
B_765,Cell0,Type6,Mode2,189,10,2,6.427503737
B_766,Cell0,Type1,Mode2,365,20,2,6.87593423
B_767,Cell0,Type7,Mode2,365,20,2,6.576980568
B_768,Cell0,Type4,Mode2,532,20,2,6.726457399
B_769,Cell0,Type7,Mode2,365,20,2,6.87593423
B_770,Cell0,Type4,Mode2,532,20,2,6.576980568
B_771,Cell0,Type4,Mode2,532,20,2,6.87593423
B_772,Cell0,Type7,Mode2,365,20,2,6.726457399
B_773,Cell0,Type1,Mode2,365,20,2,6.87593423
B_774,Cell0,Type4,Mode2,532,20,2,6.87593423
B_775,Cell0,Type1,Mode2,365,20,2,6.87593423
B_776,Cell0,Type4,Mode2,532,20,2,6.87593423
B_777,Cell0,Type4,Mode2,532,20,2,6.87593423
B_778,Cell0,Type6,Mode2,189,10,2,6.427503737
B_779,Cell0,Type6,Mode2,189,10,2,6.427503737
B_780,Cell0,Type6,Mode2,189,10,2,6.427503737
B_781,Cell0,Type1,Mode2,365,20,2,6.87593423
B_782,Cell0,Type7,Mode2,365,20,2,6.87593423
B_783,Cell0,Type7,Mode2,365,20,2,6.87593423
B_784,Cell0,Type4,Mode2,532,20,2,6.87593423
B_785,Cell0,Type4,Mode2,532,20,2,6.87593423
B_786,Cell0,Type6,Mode2,189,10,2,6.427503737
B_787,Cell0,Type6,Mode2,189,10,2,6.427503737
B_788,Cell0,Type4,Mode2,532,20,2,6.87593423
B_789,Cell0,Type1,Mode2,365,20,2,6.87593423
B_790,Cell0,Type6,Mode2,189,10,2,6.427503737
B_791,Cell0,Type4,Mode2,532,20,2,6.87593423
B_792,Cell0,Type6,Mode2,189,10,2,6.427503737
B_793,Cell0,Type6,Mode2,189,10,2,6.427503737
B_794,Cell0,Type1,Mode2,365,20,2,6.128550075
B_795,Cell0,Type1,Mode2,365,20,2,6.87593423
B_796,Cell0,Type4,Mode2,532,20,2,6.128550075
B_797,Cell0,Type2,Mode2,532,20,2,6.87593423
B_798,Cell0,Type2,Mode2,532,20,2,6.87593423
B_799,Cell0,Type2,Mode2,532,20,2,6.87593423
B_800,Cell0,Type5,Mode2,189,10,2,6.427503737
B_801,Cell0,Type5,Mode2,189,10,2,6.427503737
B_802,Cell0,Type5,Mode2,189,10,2,6.427503737
B_803,Cell0,Type1,Mode2,426.98,10,2,6.427503737
B_804,Cell0,Type1,Mode2,426.98,10,2,6.427503737
B_805,Cell0,Type1,Mode2,426.98,10,2,6.427503737
B_806,Cell0,Type1,Mode2,365,20,2,6.87593423
B_807,Cell0,Type4,Mode2,532,20,2,6.87593423
B_808,Cell0,Type6,Mode2,189,10,2,6.427503737
B_809,Cell0,Type6,Mode2,189,10,2,6.427503737
B_810,Cell0,Type7,Mode2,365,20,2,6.87593423
B_811,Cell0,Type4,Mode2,532,20,2,6.87593423
B_812,Cell0,Type1,Mode2,365,20,2,6.87593423
B_813,Cell0,Type4,Mode2,532,20,2,6.87593423
B_814,Cell0,Type1,Mode2,365,20,2,6.87593423
B_815,Cell0,Type4,Mode2,532,20,2,6.87593423
B_816,Cell0,Type4,Mode2,532,20,2,6.87593423
B_817,Cell0,Type6,Mode2,189,10,2,6.427503737
B_818,Cell0,Type6,Mode2,189,10,2,6.427503737
B_819,Cell0,Type6,Mode2,189,10,2,6.427503737
B_820,Cell0,Type1,Mode2,365,20,2,6.87593423
B_821,Cell0,Type8,Mode1,697.002,10,8,8.375336323
B_822,Cell0,Type8,Mode1,697.002,10,8,8.375336323
B_823,Cell0,Type8,Mode1,697.002,10,8,8.375336323
B_824,Cell0,Type5,Mode2,426.98,2,1,6.87593423
B_825,Cell0,Type5,Mode2,426.98,2,1,6.87593423
B_826,Cell0,Type5,Mode2,426.98,2,2,7.325859492
B_827,Cell0,Type1,Mode2,426.98,2,2,7.325859492
B_828,Cell0,Type1,Mode2,426.98,2,2,7.325859492
