ID,Yield
ID_F9XXEXN2ADR2,671.4
ID_SO3VW2X4QO93,417.09
ID_UKUQ7JM8E894,493.95
ID_QUISMWEZR2H4,328.8
ID_25JGI455VKCZ,537.19
ID_KQEAOXF3RPV6,337.25
ID_FSNZCPW9HTD2,1174.47
ID_U2TOPOA0T40S,293.9166666666667
ID_XVQLSUKOT04J,1053.01
ID_EAZAU6IW58PK,157.94
ID_WI17R25TC2VU,329.68
ID_OPR9MJWG40U7,1647.95
ID_P9K9GAHC6FX6,615.28
ID_SCAOUCCTJ75Z,35.46
ID_MUP1OS8GZR5E,2649.15
ID_WVBSZ9VBC9HE,682.28
ID_9MGH1WIKFBNB,373.94
ID_3M2O3EPOM18C,2186.0
ID_K9MOR4N1FWIB,629.08
ID_VJPUPMSQARO5,1248.58
ID_7WIMK3DXIU3Q,1207.48
ID_6QXVH0EUS60J,1220.3
ID_CA9GH6Q53A1Q,192.8
ID_94KO4EQ6TA3S,245.73
ID_2WH3AXUWRS2A,220.97
ID_LBS8TBC6QEF1,324.35
ID_Y3YARETW8RAP,1267.5
ID_BY9JJAIKBRGP,444.59
ID_0U5AM482W1DE,371.6
ID_G0I28ORJC3OP,421.17
ID_Q34ED4EMSA3R,583.7
ID_LN3LXEG984XM,609.01
ID_0JTIPPYRJND0,772.7
ID_2MRD9I2X8UXB,200.0
ID_KH1FHLUW2T4X,245.41
ID_RFM5MWSIU1JX,289.12333333333333
ID_IAH2UTMDVU8F,245.58
ID_9SNP46T1GSJI,706.24
ID_DSQ9ISYFW4DB,450.62
ID_B8XYLC3NM6XD,152.58
ID_HOG9LK4CTN8K,467.0
ID_L3RTRS1QIY6D,315.61
ID_03QW4RBYQEBK,403.94
ID_ZJSYN3ZHXK5K,1098.66
ID_UPRM76SZ7IJJ,643.25
ID_YB866N9RY5TU,532.9
ID_4H0KNHPKF9BK,161.73666666666665
ID_TOIT03A3WTTD,333.5
ID_4P7NKCB6LMJ5,29.5
ID_1TIMGZJLRLWF,626.6
ID_25E6065LQDON,684.73
ID_SOB9B3H12POE,896.41
ID_A8RF0GQGJF5H,860.9
ID_GT36LGF8SM8K,520.64
ID_E9OHGDA3U6DG,432.55
ID_HXWHLMRE99CE,1240.6
ID_3VL9DLFRG5A3,321.2
ID_OKPI3DR2ZQPJ,277.33799999999997
ID_XZO6ECCAOC94,859.1
ID_4X2UWYR6RIE2,808.0
ID_1LVAHN6PZYBS,991.2
ID_HRAJFKTPCNWQ,2011.75
ID_TK4H5NRKHOE8,349.0
ID_9U0UBT1J8152,326.2
ID_3EUKVYT37JOP,236.2
ID_1499QWPPW755,529.44
ID_ULWP3J0G860C,388.33
ID_51FSB3P7RO7F,582.3
ID_FHMVP6OM4GDX,1772.15
ID_2OICAUFVUF5S,216.85
ID_ZGCFHIHAIC5U,423.16
ID_SR592R346POT,1243.2
ID_IW7UUDAW8LI0,380.78
ID_UNWZCF6L3JHJ,421.3
ID_Z4FXX0BNPHCO,972.9
ID_T18YB26T1R72,393.6
ID_LXZWOINVI194,578.77
ID_QNQJS14C9JJR,1871.48
ID_NTPIQUV3J2G6,788.46
ID_PVQOEEDTISZ0,5.56
ID_PNB65ASGG3U5,321.8
ID_KWPXATBZDX9T,558.9
ID_0G0F9TOR4IMI,1559.0
ID_FVLMABW5Y6X2,959.39
ID_O2PL38IY50T5,613.04
ID_CNG8Z00FPPMP,757.7
ID_641DSHBH8JAF,1125.21
ID_Y14QXUKOFJ4H,324.06
ID_DRP3WZV4BNIE,426.09
ID_TMXV7UW39T80,231.11
ID_0L8O49SS6MQM,494.6
ID_UGTG0XQELY2U,440.55
ID_0YZYA9AXL9Z2,292.03
ID_KNOK4V0IWVUO,150.9
ID_YX4DF17Z25RV,396.58
ID_2YAZXP3AEDVO,311.05
ID_YNACZPCVVI09,1801.33
ID_75GYXJW1DYGX,324.77
ID_YRCMJRFRTU2K,544.31
ID_1L4WBTHTDQMP,491.02
ID_RO0XF0TFLRG6,729.34
ID_NJ7G0SAVDN1Q,346.31
ID_UFPM6MLG1BJK,4.02
ID_ULY51B6WQ9FV,800.0
ID_CR6L4TL2VEEM,231.17
ID_4YRSPS7X1V7Q,399.85
ID_ILQ5YE78E0SD,245.18
ID_WDNXY8YRA10N,402.83
ID_WYK6LRWQ21ML,297.76
ID_EBA4QUGDXB5I,1172.25
ID_2WCWAKQKRA74,618.34
ID_FTSIEXKUER9Y,323.26
ID_64BCOW7PEP3E,80.8
ID_0N5TFB55JBOB,696.3
ID_9AE1OJ45UFJ3,530.2
ID_NJWAR6L7X4Q6,780.5
ID_W8U6J9PKGGGI,391.0
ID_WJUUIJMPNLHW,391.24
ID_S7F4L5OW7OKD,819.15
ID_Y0OX05BLLQPI,201.0
ID_XJ7ULGKCALNF,643.76
ID_8NU1PZBDI5C7,1237.3
ID_CPPN31R20CBA,636.23
ID_D20Z6VEJBE6K,4.0
ID_N6RSTF2IR5GL,565.08
ID_DJBLGDPMS85M,4.0
ID_34J19EEKSSHY,881.23
ID_P8MQS1ERUQ9F,234.5
ID_U07HHH2EG6K1,855.3
ID_IKAOSO0CFKYZ,198.81
ID_NHQ2WMFGNBS1,320.50333333333333
ID_FRJ3P7XDG7OV,533.41
ID_5N0W8ZFFAIQX,427.34
ID_OFSHZ2KZ1LQ4,4.0
ID_A6C1G6XUATUE,58.7
ID_N99MP1180BJ5,245.45
ID_D5F8SLVPMZKE,163.39
ID_49QTISSSNQ0M,602.03
ID_S1WHDBHNKLYO,300.5
ID_9YE4VBW3W1WJ,436.33
ID_7SWZRG2B52YI,329.1
ID_41XNQZ8M4QXH,366.95769841269845
ID_SIB0PJZQMRBO,337.0
ID_M47IW492SXOP,156.89
ID_MTUJW5V02DWQ,791.8
ID_Y108HSDX00WC,945.2
ID_QRD8JCO8QWCF,99.5
ID_RIP1ZN0ST7I3,171.36
ID_BPS356NV28J7,1177.7
ID_0KANA1KYEQKW,197.55
ID_80MMCWDS27VC,2082.1
ID_CH1WWOXBV7L8,358.31
ID_PM7YZSDTN1OI,599.34
ID_FR4XH94DJW50,528.21
ID_D1IDORABBOBP,485.4
ID_0BE8BMWG3A68,526.49
ID_RY2QD5TLB4US,430.59
ID_S8D99RRNCOMC,1173.38
ID_YZLW773BTIA3,398.05
ID_FL8VHWG97QTI,816.22
ID_JVLT86OR9T15,652.53
ID_NBSTAXAZ24X0,1098.03
ID_43VRMQQ5E60F,323.99
ID_HI4ACMU7M13J,439.97
ID_UI96L3AE8YXY,571.7
ID_UXRI6OXKF50S,1061.77
ID_FW06NS2YA7QW,399.6
ID_RA5OO0JVNOUF,400.0
ID_EVGU94YQTZWM,159.28
ID_GHANLFEJN9UW,167.04
ID_HXBFX8X2DD7B,924.25
ID_KUNLQSF5FM19,651.6
ID_7XXH76413XNT,598.65
ID_D58TIQKQLU7Q,409.9
ID_W5CLRPVGFRKH,442.17
ID_A3Y0OIB0BE59,400.5
ID_C74NLELOCNTS,2053.1
ID_2FIGN89QV44C,240.0
ID_QN4PJSV2CGSJ,339.26
ID_V5W6AZBTURWA,417.91
ID_L6E0GOTVHSCD,618.99
ID_Q95BUWXK8RM3,138.4
ID_5TLXCFLTYF1F,433.6
ID_GLBHSYJG9S5B,1514.6
ID_3X3YHRC7IIN9,537.97
ID_5H724YS64665,841.5
ID_U4Z5RN88FCZM,637.67
ID_05TGZGOMI6MF,407.5
ID_0GCZV8RUSZK6,404.28
ID_UV06K1FM1SB5,481.3
ID_RCJZ3PORBWFV,64.11
ID_W1NL5CU9VHQS,426.57
ID_2WIYFQHMJPYD,1302.2
ID_BFFULEU6PVQ9,100.0
ID_JN31K11BXQ0E,318.73
ID_DS40FHVR9R7F,330.08
ID_DNOT9DTVZ6MQ,785.7
ID_Z58PO8MMX8YV,804.2
ID_NEYMBJKFHN1X,479.2
ID_RND7MNSA6LWV,294.5
ID_U407VXC7F9NZ,314.03
ID_ES753BBA75GB,160.14
ID_APRL4BTWWRW9,311.13
ID_S909ZPBZ39II,289.77
ID_YYFP9SWEV0U5,1169.2
ID_25EBTESPBHGZ,683.2
ID_W0W8TG7XRWE3,172.05
ID_0FU2BPIOTMVD,694.56
ID_OF817VW3STNX,498.77
ID_7QATIJ9YSL1K,1887.5
ID_LBPW7URC7BBW,476.3
ID_7WYQ81JCM9V3,140.84
ID_JGSVOGVN6522,568.88
ID_TOUB2GY1ZHXT,688.45
ID_9AJCTSUQG7FZ,525.6
ID_VKOZPEUVSDI8,710.46
ID_UG5GQ68S58OW,456.21
ID_4RB8XK2ZB1IR,939.67
ID_Z3P4T6K6P2ED,213.05
ID_VUGTKX63R5P0,404.5
ID_XMF3Q64FMLBK,505.72
ID_DTWCZ9G9C8WD,924.5
ID_0MNYHJUPIOIT,200.25
ID_ZGAL960JTO3R,902.17
ID_PK835TJNER3I,659.49
ID_KVGPYMSHB2WJ,282.83666666666664
ID_OWIQYP0I1HGW,1308.0
ID_7RS2XDILJLBL,409.85
ID_EDCLK08NMF0N,406.7
ID_97Y87C3ANP5B,357.87
ID_D3SKVOTTB4KQ,263.66
ID_APFVFYM11UU0,1842.45
ID_TAIVU9LHBYZ8,480.8
ID_NTR94XDRQIHZ,130.76
ID_8QCOFS2HXOJQ,406.1
ID_7ZZVZZH08UWF,405.13
ID_9NGVV4V11YU2,406.3
ID_5G8RKC18KLXV,444.19
ID_BSVRMHEKDQKD,437.06
ID_6Z12209FUIAT,715.96
ID_IRBHYP3G7UXU,312.36
ID_9PH4KNPDDVWS,797.9
ID_S4G0N1TJEDUG,368.57
ID_OP7NSDQGR6AE,108.73
ID_32RIU94UJDHI,1399.0
ID_85WKQYHE0W5H,798.75
ID_2T4I23J42NUP,389.68
ID_LOJZM912S2TH,456.58
ID_FQAR45VD4PQ5,722.88
ID_RA4Y3ZL70BWO,1189.43
ID_UH3QT7I1O24Q,169.4
ID_P9OZQ56CX2YO,502.6
ID_RB24VMV9FIGM,403.99
ID_XECRIM8DR00Z,1189.88
ID_EYIQ79MA3T5E,736.1783333333334
ID_B0QBM2S1R9S7,179.92
ID_1L74BG9P0TKX,769.7
ID_141KG0TOOCJ6,687.58
ID_IMKLSNJKVI4P,287.16
ID_253P6J7D92PW,412.04
ID_PCC17RCZX06S,318.47
ID_7MUPVDZE1ZWB,1343.85
ID_O994OZU1NP7E,606.95
ID_RFVKSMVILY31,490.82
ID_MTR7TTJ5LSBE,132.34
ID_87QM8DS5HSU7,1333.0
ID_8KXPBLV53NZK,547.26
ID_LQVS4LC3YRMB,497.16
ID_ISVACTKT5MAA,386.28
ID_C64B9DUNSCM1,195.2
ID_ZXAE37OWUMFI,409.04
ID_L7Y4MKY66OSL,597.2
ID_TZ1FUOUR0Y8X,1194.0
ID_D7HMR45HU1ZW,440.37
ID_UCZXI2H7S2YD,238.32
ID_7TU75PUQP312,2193.38
ID_4ULCEP364DAF,560.44
ID_8EOY07K5LOC4,341.7
ID_NK47MAUWJ8Z5,153.68
ID_8ZCGIWU6GZLO,288.1
ID_SNIWSZ237UOD,315.2
ID_7LDSCZ2OPT0K,478.6
ID_TK2TH4JSJ1KB,138.32
ID_UUXFZKSR58SC,299.0
ID_EVACECC6XIW9,1689.85
ID_U2LSES0Y4I3C,1601.1
ID_NEGU2TDNC4Y0,116.32
ID_WCBHSOBP51H1,220.1
ID_SVRQ4NGZFMMP,953.65
ID_5TBBUKHYJ1KI,620.83
ID_4AOR8R30LNOD,442.83
ID_5XOUKBLNO7AC,488.45
ID_IQZTM1J018FS,805.0
ID_Q9VXX3O6IZOD,253.93
ID_HTEQD0S6QIB8,295.14
ID_0GFT8KE7O9RP,771.62
ID_SHFI8L6O4DQ3,715.39
ID_64MUBP88ECF6,425.77
ID_EHYBYH7QLOSL,197.5
ID_GTGEI6PS93QJ,1931.7
ID_TL9C9OJ8G68U,234.69
ID_SM1GWL52K1F8,388.85
ID_DZW8R8ONEU66,459.35
ID_HBDA4P8811S8,2446.14
ID_CJQOTSL074N8,627.3
ID_KZ0X60V9XQIG,1864.8
ID_0TWFZTV06NYT,560.12
ID_PVJN35A46C0K,473.94
ID_D732BOTXBLSI,391.2
ID_342GB00NU2X8,155.3
ID_AQUL5HCLWJPM,1178.14
ID_VU3938I1G9Z0,790.5
ID_Y2ZY2HDPU6PE,387.85
ID_SJD77GLF5ZFJ,493.3
ID_3T35R9QJBF2M,443.02666666666664
ID_NQUTMXXK59YN,648.57
ID_SV7AFMBC72LB,142.43
ID_PAPK30H37SIW,797.9
ID_URRQOVPPCBQ4,201.0
ID_CQPXYYK4KGB7,421.12
ID_RJIJXF4OS4RL,4.0
ID_APUXW8HC4K6B,1251.5
ID_61Q9C9GGPHDI,1273.9
ID_ZWZRMNC7OOCV,261.89
ID_IYKX7HR08L6A,16.8
ID_AIG281L5ZHU8,244.17
ID_NHUOZPKIO0BR,400.81
ID_LLYN4K7KIT4R,442.7
ID_0TSE5OLEV8WK,425.49
ID_H992DU9HM8DQ,317.32
ID_UK0CBXPBQ5RY,1145.48
ID_RDPY3EBXFJ5O,1332.5
ID_5L97TY473GY5,1502.75
ID_5B1X9MC1IFX0,338.0
ID_ECWVAC40SNWB,2029.2
ID_OE87AT5TAUEI,1909.95
ID_XR12GEBM8H2K,1316.0
ID_LJ2AP4BNL25Y,492.49
ID_LH311ABG9XDL,303.85
ID_HXONOBB4HD6T,1948.35
ID_7AOOKABBB6N8,772.86
ID_Z17C9TLMF1MJ,181.25
ID_3PUBL95YQ1AF,802.0
ID_3RUIBILNO5TH,152.88
ID_9VMYZE08M98X,789.6
ID_6SDJYMNC1T2Z,41.64
ID_61DT371A8JKT,353.85
ID_R51LYLFQUFIL,598.55
ID_MJYLQ159US1Y,931.67
ID_QQHLY17D6RBD,1258.8
ID_Y84JBGTU3NGV,679.21
ID_V8BHOZICY6IF,346.96514291264293
ID_DZ1R5TGC156F,664.87
ID_UQTR8CQ5LH50,1100.62
ID_CK56LDNW1478,772.5
ID_QJGUBXWDDCRS,645.9666666666667
ID_H7YHR5OTSNS5,151.71
ID_8FRJCZZGLIRC,711.96
ID_U29DLWFB48GG,293.5
ID_W3OHI7MAVC24,138.43
ID_1ZY88AN5LZD4,418.57
ID_OC5EEB6B892L,771.5
ID_CMWPG2PIB75R,625.1
ID_NWEI411ITDHM,757.5
ID_G49PUGN2HFAD,249.09
ID_GSNP1IEZEQBC,495.41
ID_GJUS6RREHQ81,753.54
ID_7F8MCGYBVNP9,419.71
ID_0L3CDZHQMEW6,808.38
ID_WWW8P7C0BWWD,307.76
ID_K5SN27S6ODNO,776.21
ID_UFYYFX1MOUMV,413.57
ID_D0724QR6ZQQF,1577.3
ID_PMSOXFT4FYDW,2966.8
ID_SO7VGCA3U32O,979.56
ID_FRF1EVPIL6HX,796.15
ID_82CBKU1NDJ0V,1199.3
ID_RX8DANVXO123,396.92
ID_ILC9A9DN5G2Z,791.7
ID_2GDKRWUIWI9Y,152.42
ID_RBQ5VAV4DJ5G,786.51
ID_UOQYVR79LGBI,612.78
ID_K6AD8QUXXR6Y,28.0
ID_J342KZ43X2VJ,610.03
ID_XPEQ4HVRRQX3,2546.3
ID_AJUG34L464MU,567.59
ID_JF3KG0PYDKQF,1929.0
ID_L9Y3DAFA0E72,668.05
ID_E6BGEQJGO571,232.69
ID_SP088I6KHJYU,356.3048651348651
ID_044M7JJ7F7ZH,804.4
ID_FWCKHCWUI2ZA,314.52
ID_RYVNAORY2187,212.62
ID_AKABUF8B09YM,754.0
ID_S2JJQXZHA1AS,448.84
ID_4QOOOG43P1EL,1114.4
ID_X7Y0DSAFDFLN,761.0750000000002
ID_HBHBHNCY4HVH,406.52
ID_BD6WGXMV0N9M,420.9
ID_L96Q9Y8ZKZ8E,1204.7
ID_THWRW6UMVR43,329.05
ID_BORVFDCCKT0H,756.2
ID_2L25K22ZLQPZ,385.95
ID_YUL27A9GYMND,407.55
ID_8MKACM85VSCS,2647.65
ID_4060CUEUW7HI,330.883170995671
ID_Q0SM7VK3YP8B,81.32
ID_KFDMKLKS776M,438.61
ID_JFSU9KK3JSCO,1602.35
ID_YDVQY6M9SDE1,252.92
ID_24UQHTEAU2MZ,384.88
ID_SGZSFYIOBIN2,593.79
ID_JNBPHXXIFBMH,323.54
ID_ZDH7Q9PB2ZFC,400.57
ID_Z8L5CROZXDD9,1102.3
ID_BFWA63TCREXQ,297.96
ID_M3DHWRLA56N4,1298.05
ID_7QNMKE9U82HO,1299.6
ID_75A7EFD9RIO4,148.85
ID_ZGRBK42R4LAE,373.07
ID_E69IMEJ5DN9Q,363.75
ID_9GU549TH7ZK3,966.53
ID_32IOWXYS1DUU,159.63
ID_055AL1ZL5ZQ3,99.05
ID_1D24WF1F56XL,194.05
ID_C8563RHWH4R1,371.5696031746031
ID_FWYXQF7RP0NA,605.42
ID_RUQF0NVO7GUP,99.1
ID_U51NJXF1ANRX,286.0
ID_52E5N2X6YPZC,402.0
ID_5605KFWD5KLI,548.7
ID_RP1T12JOZ0W5,366.78
ID_1NJF183VW7MV,41.8
ID_YBW0BLUZSB09,496.79
ID_EMWY1EBQA2OW,4.0
ID_PRZUQ2CC6YQL,745.95
ID_DR9MHVZLS2J3,299.4
ID_F9Z4KJ1ATXQX,483.0
ID_1IEQS1MMJVNU,1351.45
ID_Y5OJFJ4ELKBO,5257.85
ID_OYZLWHPXC232,57.82
ID_RIJPB9ZK7QMJ,339.05
ID_5YLAHA1RPCLZ,526.71
ID_7YD43YGQEHAG,185.2
ID_Z2128MPPJH3I,327.3
ID_6E9C80EV7UVB,541.61
ID_V292OF4LJFY6,470.66
ID_GZWEN5J0753A,142.59
ID_DZJI74TH27S2,562.08
ID_VB20G3017OT3,1629.9
ID_PFR5TR9NSJ44,547.84
ID_CGEMGXF9GKAN,797.32
ID_UQN5YELSPFW4,583.6
ID_9KQ04PBVJQ2Z,502.15
ID_4XS5DB6R0W1W,2782.8
ID_0LIP6T5ZSM47,709.53
ID_EKT3T87PW61E,401.37
ID_8APYWALBVJJG,1342.75
ID_IZNAGRDXI416,562.9
ID_O8JW768V2WBT,784.24
ID_QB1EGGOG4PKU,382.75
ID_QL474TRJZ4KT,271.0
ID_JS00JMA9OC55,153.11
ID_KX93WT2WM8KI,386.67
ID_88T4KAWBOXD2,904.2
ID_AYEXJ449FHYB,237.38
ID_WAMWUG0WHB97,1137.0
ID_MNSBZZRLVYAB,512.2
ID_NIO4I0V8DWYJ,93.94
ID_NIZWE5DL0ZEP,770.01
ID_9NCKQGLK3SD9,466.99
ID_5OSGLVZW9D29,814.12
ID_6XPJZR8ZCIC2,320.67
ID_IY0SP642OW24,696.21
ID_RIYH64Y97QRK,481.08
ID_XSP6B48LKWT8,400.5
ID_W753O33BW3BB,409.62
ID_RWJ0XTITY982,2016.5
ID_EUEIBIX6TBO2,399.54
ID_WH5AACW8DNG9,238.82899999999998
ID_NKCHBHQGHFQJ,408.88
ID_55LF7DAPVUM9,376.23
ID_QCVF1IC80H55,265.16
ID_TTYI3X4FHRSK,580.33
ID_FAVZ1A7JE66Y,196.8
ID_K3QDY7VQTJ4Z,409.9
ID_SXVSUXY5UZAB,76.46
ID_5K5QDTT6M6RR,211.4
ID_LVWYORSZVO3S,237.28
ID_6ECLIA2352NF,157.9
ID_W9B36B5RXLXB,1415.05
ID_FBND5TKBJU4V,271.71
ID_IEG1EPIW3QJE,308.39
ID_XBAKEC3FGVOI,324.6
ID_YX1YSBJPV00F,228.53
ID_CNJ0199EZ0Z5,239.105
ID_9HZRXVLF8O7Q,410.08
ID_N8DOGSGMLEEF,389.5
ID_QTT6DFO6C20M,133.11
ID_84TIYB63GU2Q,143.1
ID_I13964DD6KTD,372.53333333333336
ID_31NJ27Y0VJFL,238.52
ID_SFCM114U57TL,200.75
ID_JO7PGDO0GSL6,615.08
ID_GL342CDVL9P5,415.4
ID_89HGYIT9L72K,512.11
ID_GMN55BKSKYR7,1218.2
ID_IPCZ9G8W2MEV,820.9
ID_YTTWCTKL25FS,805.5
ID_RXK77X7AJU1K,505.23
ID_7DF2UHVO2YDW,512.15
ID_S8ILQIMNR33S,899.63
ID_9CZKHNKM1I86,475.54
ID_QV0YP4S4M4EW,371.73
ID_6NW6LZZP4YSO,862.75
ID_11VV8EJUCW0H,3023.3
ID_12B9ODTQEDJP,400.0
ID_O9F0DSRI883S,376.98
ID_UGZM1YTX1O1E,449.5
ID_K9QDUU90W0VF,551.09
ID_NSYRKSMPHBU1,863.95
ID_VTPNQBR81BM9,352.19
ID_39OMID9QCOG0,184.5
ID_1PEZ9AQEX5YZ,2757.5
ID_KMV01O5FI1RE,197.3
ID_D8YY9UAL3DUU,1130.1
ID_MK1LEGI0K09C,594.65
ID_SIGZ0JBXQGOV,256.4
ID_TVKRFN7WM03R,214.05
ID_0BEO9O1TBGD7,505.19
ID_0LAUIA0BNIC1,328.05
ID_J3ASN4NEHJWU,469.55
ID_E0C4Y5E20718,846.25
ID_42C9CZBA94GA,238.86
ID_YR8ZM2POXIMW,121.05
ID_CI5T4HTPFSD5,2402.1
ID_A43CG1H8ISRO,306.85
ID_3CEHUW3S0G0K,851.01
ID_TXB3AVJR817F,372.68
ID_EARHOHWMJBZN,829.54
ID_3VLU0ZG4HZCJ,356.7
ID_BXY0XWQ3PB64,966.15
ID_QRR9XFG9T842,621.79
ID_EUX6TSC8JHCM,401.22
ID_QFOI09YR3VXI,435.45
ID_YV25FQOXZ8MV,9.44
ID_7FQESEUZAD3Z,318.54
ID_CNWL7DTP3YX4,434.2
ID_T55BT4VODB0E,140.32666666666665
ID_RV1AQV8A2YO5,995.6
ID_4LD71OA2HWJA,418.32
ID_MURY55Z0UGAN,333.3
ID_N2FMG5146H3F,227.43
ID_UTINEMLC3YZ8,391.62
ID_2YV5CPEX8PQX,927.55
ID_G04CAJF9PJPJ,437.48
ID_VQQC20SF8PFA,315.15
ID_XLERVZJLB89L,385.73
ID_55VQDPWDVUJN,1228.4
ID_ZQ8CAFATMFQ4,227.75
ID_G0F3TN5NG6BH,227.6
ID_PF85WDFZ5SIC,301.0
ID_LPA096T2PA37,335.9
ID_TOJV71OD5IJA,499.8
ID_OC71Q8G1PU9X,601.17
ID_ALXWTRGLKYET,437.91
ID_L25QRS7Z1I48,588.13
ID_ZJX6UR06AOQN,163.54
ID_J18Z7G8MKNNW,948.29
ID_A1FRWN0WLOW3,654.93
ID_1WMN80LOMPYX,672.25
ID_PN8SLC70UAFU,364.03
ID_Y0VLNN9FFCDB,1199.9
ID_KSNG2EHQWVN2,2023.6
ID_6W3UCOWAIKFY,249.45
ID_SAMIPB6FVS35,559.91
ID_5XWLZR0M55MG,687.25
ID_XS38KEFXELD5,442.46
ID_59TDKRUHGJTU,440.17
ID_LA52IZ1MKC63,122.91
ID_HUS8E1K54UTE,676.71
ID_I13GK4NJXW16,1208.78
ID_VNANLNWRQBB6,364.33
ID_S9RY48JU1EY7,601.0
ID_4STCBR16P9VP,1016.4
ID_8975M70FEDGV,1270.41
ID_DUBR80BZKU6Y,325.98
ID_MAEEJ3FRNXBQ,313.5
ID_H4AAIXVXUTIW,1563.65
ID_9O8JMRL331Z1,219.07
ID_NGSCERQ2QDX4,348.8
ID_6LCF9GFNTUHP,408.3111111111111
ID_P1FUZAFI9H4Z,730.81
ID_98FVLR8JYSIK,856.75
ID_21Q3Q5YNLZZX,651.83
ID_PBBKRFRQIL4M,318.06
ID_XUQ4DJPJN922,405.7
ID_XN9SQO2E71Y5,341.31
ID_16EL4RBE07V4,480.0
ID_J9A3XKAY092U,436.72
ID_SI3U6TVMFSLR,2394.96
ID_MZPNEAO40UOF,617.01
ID_JMOP4XUA0I7Z,400.94
ID_3K7O1OS7SC87,1498.0
ID_1FKKC1Y469H8,480.0
ID_KLWMKKI8XBMZ,424.6
ID_INV1UN5XSNO4,400.83
ID_FCP0ZRWKWL2B,394.78
ID_L7DSNSBA5RQQ,237.26
ID_SECEK6SG1NI8,2210.85
ID_ZZH6SDGIBPVQ,786.7
ID_NKCBC5AYF2O5,1006.8
ID_HCUH5OSOLYNC,474.15
ID_P2YVKXAWU6J2,712.99
ID_H5DAKY1IT85H,1129.06
ID_FN2NLEWDMB6D,329.16
ID_FQRTZI314E4V,5266.8
ID_605VN4QHNIDI,411.32
ID_J9MMOAJFJ2J9,432.85
ID_2N51RJM7IWTE,468.4
ID_G7LKS3J2NRV9,619.74
ID_B75HPYZV9PLR,849.7
ID_IJFSC215A8T5,238.82
ID_XUJ8JAS1QTG5,104.1
ID_OC29SB0GECK9,387.05
ID_0ZW1XY8NZ5AA,88.24
ID_XUYVTZH1U6V5,561.44
ID_TUQ7O8VZEO8Q,1205.56
ID_XL5X7DAJMM1B,400.81
ID_6GOHOWR9UQEB,558.98
ID_OSG7JPS4CTQ6,601.36
ID_TYWY3ZJA2J5I,1993.43
ID_E8R8OU0PL6KU,808.6
ID_NVSZ1QLGBUT6,325.89
ID_B6DWB2FSMPKC,368.15
ID_P0UJZBSPVHUE,1359.0
ID_O9LKW41W3CE6,252.95333333333335
ID_APVY0ZAA2T96,305.65
ID_DXH0G1YZBCCY,703.52
ID_50FMQ8VLWTYD,1103.67
ID_MPXG6OFK28RA,1153.25
ID_KO5Q9YHKSLDL,786.5
ID_5RN40WEWP1EL,672.22
ID_C22JIXZIZSL4,323.76
ID_9DQB1KQZBTV8,283.3
ID_CQHWUNCL5PCX,475.67
ID_J5OEXVDCNB0P,776.5
